County,Public Health Region,La Paz Border Designation,Urban Rural Designation,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,2023 Population,2024 Population,Assistant Behavioral Analysts and Behavioral Analysts 2020,Assistant Behavioral Analysts and Behavioral Analysts 2021,Assistant Behavioral Analysts and Behavioral Analysts 2022,Assistant Behavioral Analysts and Behavioral Analysts 2023,Assistant Behavioral Analysts and Behavioral Analysts 2024,"Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2015","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2016","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2017","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2018","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2019","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2020","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2021","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2022","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2023","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2024",Licensed Professional Counselor 2015,Licensed Professional Counselor 2016,Licensed Professional Counselor 2017,Licensed Professional Counselor 2018,Licensed Professional Counselor 2019,Licensed Professional Counselor 2020,Licensed Professional Counselor 2021,Licensed Professional Counselor 2022,Licensed Professional Counselor 2023,Licensed Professional Counselor 2024,"Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2015","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2016","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2017","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2018","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2019","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2020","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2021","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2022","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2023","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2024",Licensed Specialist School Psychologist 2015,Licensed Specialist School Psychologist 2016,Licensed Specialist School Psychologist 2017,Licensed Specialist School Psychologist 2018,Licensed Specialist School Psychologist 2019,Licensed Specialist School Psychologist 2020,Licensed Specialist School Psychologist 2021,Licensed Specialist School Psychologist 2022,Licensed Specialist School Psychologist 2023,Licensed Specialist School Psychologist 2024,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2015,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2016,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2017,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2018,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2019,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2020,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2021,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2022,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2023,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2024,Psychiatrist 2015,Psychiatrist 2016,Psychiatrist 2017,Psychiatrist 2018,Psychiatrist 2019,Psychiatrist 2020,Psychiatrist 2021,Psychiatrist 2022,Psychiatrist 2023,Psychiatrist 2024
 Madison ,PHR 7,Non-Border,Rural,14054,14139,14223,14312,14420,14527,14636,14754,3907,3906,0,0,1,0,0,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 Marion ,PHR 4/5N,Non-Border,Rural,10458,10433,10409,10389,10343,10294,10255,10199,37013,36979,0,0,0,0,0,11,9,8,9,8,9,9,9,10,10,10,10,14,10,9,11,12,14,13,11,3,3,3,2,2,2,2,2,1,1,4,5,4,3,3,3,3,3,5,5,1,2,2,1,1,1,2,2,1,1,0,0,0,0,0,1,1,0,1,1
 Martin ,PHR 9/10,Non-Border,Rural,5367,5494,5626,5757,5898,6044,6195,6349,61567,62074,0,0,0,0,0,16,18,18,17,17,18,9,8,7,8,7,7,9,10,11,12,11,10,11,14,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,2,2,2,3,3,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,2
 Mason ,PHR 9/10,Non-Border,Rural,3928,3919,3914,3904,3901,3899,3900,3905,8761,8789,0,0,0,0,0,5,4,5,4,4,3,3,4,2,2,5,5,6,7,7,7,3,3,3,3,1,0,0,0,0,0,0,0,0,0,1,2,3,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Matagorda ,PHR 6/5S,Non-Border,Rural,36932,36991,37030,37045,37064,37064,37055,37032,258302,259984,0,0,0,53,58,402,414,417,419,430,448,399,412,419,451,173,180,198,215,225,233,231,232,258,277,87,87,88,94,98,96,93,91,89,83,38,39,39,41,40,41,46,52,48,50,22,25,31,29,29,29,21,26,27,31,22,25,24,25,24,23,25,25,22,19
 Maverick ,PHR 8,Border,Rural,57107,57684,58254,58820,59379,59938,60484,61027,787,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 McCulloch ,PHR 9/10,Non-Border,Rural,8448,8486,8539,8576,8619,8660,8700,8738,14868,14983,0,0,0,1,0,5,5,5,5,4,4,2,1,2,3,3,3,2,2,2,2,3,3,3,5,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 McLennan ,PHR 7,Non-Border,Urban,243882,245791,247655,249470,251303,253066,254824,256604,10129,10063,37,41,45,0,0,3,3,3,3,3,3,4,3,3,3,1,1,1,1,2,2,5,5,5,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
 McMullen ,PHR 11,Border,Rural,746,754,761,766,774,783,787,787,6507,6655,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Medina ,PHR 8,Non-Border,Suburban,48221,48680,49136,49615,50118,50594,51121,51621,52122,52651,5,6,7,8,8,16,20,23,21,19,20,12,15,20,15,16,16,15,22,24,25,25,23,24,28,2,2,2,2,3,2,2,3,3,3,1,1,3,4,7,8,6,8,12,13,1,1,2,2,2,2,3,2,2,2,0,1,1,0,0,0,0,0,0,0
 Menard ,PHR 9/10,Non-Border,Rural,2199,2200,2194,2187,2185,2188,2185,2185,2181,2170,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Midland ,PHR 9/10,Non-Border,Urban,158745,163923,169373,175090,181073,187364,193981,200890,208108,215652,4,6,8,6,7,83,85,75,79,83,77,63,64,61,75,104,107,110,116,128,139,105,99,108,109,12,11,11,14,14,12,10,9,9,9,9,7,6,11,11,10,8,8,9,10,12,11,10,8,6,7,8,9,8,10,10,8,11,12,10,11,10,8,8,8
 Milam ,PHR 7,Non-Border,Rural,24634,24642,24661,24662,24655,24635,24634,24627,24589,24559,1,1,1,1,3,5,5,4,4,4,4,3,4,5,6,7,7,7,7,8,8,2,4,6,6,1,0,0,0,0,1,1,1,2,1,1,1,1,1,1,2,2,2,3,4,1,1,1,1,1,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0
 Mills ,PHR 7,Non-Border,Rural,4875,4874,4879,4885,4876,4870,4863,4847,4843,4832,0,0,0,0,0,5,5,5,5,5,5,5,5,4,4,7,6,7,7,7,7,6,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Mitchell ,PHR 2/3,Non-Border,Rural,9622,9678,9713,9764,9802,9865,9895,9943,10004,10039,0,0,0,0,0,2,2,2,1,0,1,1,2,2,2,0,1,0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Montague ,PHR 2/3,Non-Border,Rural,19446,19392,19350,19298,19247,19199,19154,19099,19038,18964,2,2,2,2,2,10,8,10,10,9,8,10,11,11,10,5,6,4,5,5,5,5,3,5,6,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Montgomery ,PHR 6/5S,Non-Border,Suburban,529079,545011,561436,578410,595887,613951,632702,652082,672131,692840,82,98,111,125,142,211,212,219,228,238,244,319,333,372,418,340,377,386,411,444,479,522,564,635,716,81,80,76,84,90,97,108,120,116,121,66,64,73,81,93,99,110,113,114,115,81,84,95,96,101,101,107,109,134,146,27,30,32,33,39,41,37,43,47,49
 Moore ,PHR 1,Non-Border,Rural,21734,21713,21696,21660,21612,21575,21543,21510,21492,21446,0,0,0,0,0,3,3,3,3,5,6,5,4,4,3,2,3,3,2,2,3,7,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Morris ,PHR 4/5N,Non-Border,Rural,12698,12649,12593,12551,12506,12448,12393,12328,12262,12186,1,1,0,1,1,3,3,4,4,5,6,4,2,2,2,4,4,5,7,7,7,7,4,4,4,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Motley ,PHR 1,Non-Border,Rural,1191,1186,1184,1177,1174,1172,1165,1162,1155,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Nacogdoches ,PHR 4/5N,Non-Border,Rural,63548,63583,63691,63839,63981,64106,64181,64248,64255,64226,4,4,5,7,6,85,88,88,85,90,89,79,65,67,74,52,53,62,69,74,78,75,69,71,75,12,11,9,10,13,15,15,14,11,10,9,6,9,10,11,10,13,13,13,14,8,8,9,9,9,8,4,2,2,3,3,3,3,3,3,3,3,2,2,2
 Navarro ,PHR 2/3,Non-Border,Rural,47908,47930,47959,47962,47977,47985,47962,47962,47930,47879,2,2,4,7,7,25,25,23,24,23,24,22,26,26,25,28,27,27,30,30,30,23,28,29,32,5,5,5,4,4,4,3,2,2,2,4,4,3,3,4,3,4,5,5,4,2,3,3,3,2,2,2,3,4,4,0,1,1,0,0,0,0,0,0,0
 Newton ,PHR 4/5N,Non-Border,Rural,14051,13982,13912,13847,13784,13724,13654,13598,13522,13447,1,1,1,1,1,4,4,2,3,5,5,4,5,5,4,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Nolan ,PHR 2/3,Non-Border,Rural,15376,15430,15478,15524,15589,15642,15689,15734,15791,15831,0,0,0,0,0,6,5,3,4,4,4,6,5,6,7,9,8,8,8,8,8,7,7,7,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,3,3,4,4,3,3,4,0,0,0,0,0,0,0,0,0,0
 Nueces ,PHR 11,Non-Border,Urban,360992,365409,369869,374431,379038,383718,388438,393190,397902,402604,14,15,18,20,21,247,244,243,250,256,249,240,230,254,266,299,311,332,348,365,399,324,330,339,362,61,60,60,56,52,48,51,47,47,46,40,42,40,34,35,33,35,34,36,43,43,43,39,39,42,39,32,33,31,27,22,22,20,22,22,23,21,21,22,21
 Ochiltree ,PHR 1,Non-Border,Rural,10737,10849,10958,11073,11190,11309,11431,11553,11673,11813,0,0,0,0,0,3,2,2,2,1,1,0,1,1,1,5,5,5,5,3,3,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Oldham ,PHR 1,Non-Border,Rural,2140,2152,2163,2177,2192,2200,2210,2217,2225,2236,0,0,0,0,0,5,6,6,5,5,5,8,10,11,10,6,7,6,4,5,8,6,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
 Orange ,PHR 6/5S,Non-Border,Urban,84037,84466,84886,85320,85744,86155,86539,86913,87289,87629,2,2,4,6,6,26,23,23,20,23,22,23,20,25,27,19,20,19,18,21,23,24,23,23,27,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,1,1,1,0,0,0
 Palo Pinto ,PHR 2/3,Non-Border,Rural,27979,27978,27955,27931,27891,27859,27815,27777,27728,27651,0,0,0,0,1,14,12,12,16,15,16,11,13,13,17,2,2,3,2,5,4,7,7,8,8,0,0,0,0,0,1,1,1,1,2,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Panola ,PHR 4/5N,Non-Border,Rural,24238,24321,24402,24471,24531,24576,24647,24714,24758,24817,0,0,0,0,0,8,9,8,8,9,9,8,8,8,10,5,4,5,6,5,5,3,5,7,8,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,3,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0
 Parker ,PHR 2/3,Non-Border,Suburban,125811,127694,129607,131578,133578,135621,137707,139853,142025,144207,4,4,6,7,7,57,59,57,62,69,76,98,92,92,101,59,68,76,85,86,97,119,118,129,129,9,8,8,9,9,11,9,9,8,10,11,11,13,11,11,11,12,14,15,14,6,7,7,9,9,11,14,13,15,18,4,5,4,5,4,4,3,3,2,4
 Parmer ,PHR 1,Non-Border,Rural,9697,9590,9489,9387,9288,9200,9097,9004,8902,8783,1,1,1,1,0,4,4,3,1,2,1,1,1,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Pecos ,PHR 9/10,Border,Rural,16119,16219,16313,16397,16477,16533,16598,16658,16714,16764,0,0,0,0,0,1,1,1,2,2,3,2,1,2,2,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Polk ,PHR 4/5N,Non-Border,Rural,47077,47485,47886,48283,48689,49080,49480,49862,50249,50597,2,2,3,5,6,20,22,21,21,19,20,19,16,16,19,22,23,22,24,24,22,18,20,25,26,0,1,1,1,0,0,0,2,2,2,1,1,0,0,3,2,1,1,1,3,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1
 Potter ,PHR 1,Non-Border,Urban,122204,122365,122482,122573,122653,122706,122765,122799,122803,122793,1,1,1,0,0,172,170,165,168,159,157,127,155,161,177,150,150,147,147,143,138,114,130,141,141,26,26,27,25,21,16,18,15,13,12,12,12,14,14,16,16,14,15,14,17,20,18,18,15,15,16,15,13,12,13,16,11,12,14,14,14,15,16,19,20
 Presidio ,PHR 9/10,Border,Rural,6726,6552,6371,6206,6049,5906,5758,5609,5471,5331,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
 Rains ,PHR 4/5N,Non-Border,Rural,11147,11187,11234,11281,11325,11378,11425,11455,11488,11518,0,1,2,1,1,2,2,3,5,5,4,4,2,0,1,4,4,2,2,2,2,3,3,2,5,1,1,1,1,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
 Randall ,PHR 1,Non-Border,Urban,128364,130159,132035,134004,136026,138104,140273,142506,144824,147200,3,3,4,4,7,108,114,121,125,145,152,158,134,124,130,108,106,114,125,134,156,152,136,134,150,4,6,4,4,2,5,6,8,8,6,14,14,15,17,17,16,18,18,22,23,6,7,7,7,7,7,9,8,7,8,0,0,0,0,0,0,0,0,0,0
 Reagan ,PHR 9/10,Non-Border,Rural,3739,3831,3928,4017,4122,4226,4326,4425,4526,4632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Real ,PHR 8,Border,Rural,3364,3370,3386,3392,3403,3407,3415,3421,3425,3426,0,0,1,1,1,4,4,3,4,3,3,2,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0
 Red River ,PHR 4/5N,Non-Border,Rural,12770,12741,12701,12673,12645,12610,12565,12515,12469,12405,0,1,1,0,0,7,8,7,8,8,10,6,5,9,8,4,4,4,5,5,5,1,1,3,4,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Reeves ,PHR 9/10,Border,Rural,14686,14869,15081,15287,15501,15707,15931,16150,16363,16578,0,0,0,0,0,3,3,3,3,3,3,2,9,12,9,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Refugio ,PHR 11,Non-Border,Rural,7475,7505,7529,7554,7563,7573,7589,7603,7609,7629,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,5,5,5,5,1,3,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Roberts ,PHR 1,Non-Border,Rural,955,964,974,976,977,983,991,994,997,1003,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robertson ,PHR 7,Non-Border,Urban,16713,16744,16791,16823,16856,16888,16924,16936,16952,16977,0,0,0,0,0,6,7,7,8,9,8,5,3,4,5,5,5,5,5,5,5,3,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
 Rockwall ,PHR 2/3,Non-Border,Suburban,89731,92123,94557,97062,99619,102243,104969,107826,110757,113802,13,15,17,21,24,53,59,62,64,69,67,101,90,110,129,65,72,83,91,100,121,149,157,165,170,22,25,23,22,26,29,27,32,36,33,12,16,13,13,14,14,15,16,13,14,12,11,11,9,10,11,19,22,27,26,4,4,3,4,4,4,4,3,4,5
 Runnels ,PHR 2/3,Non-Border,Rural,10726,10774,10822,10890,10948,11009,11072,11137,11200,11259,1,2,2,1,1,8,7,8,9,9,8,8,7,7,7,1,1,2,1,2,2,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
 Rusk ,PHR 4/5N,Non-Border,Urban,53046,52986,52941,52892,52822,52767,52713,52648,52584,52527,0,0,0,0,1,18,20,18,20,15,17,30,23,20,17,13,13,15,18,20,24,22,24,20,22,3,3,6,4,3,4,4,2,2,2,4,4,4,3,2,4,4,3,2,2,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0
 Sabine ,PHR 4/5N,Non-Border,Rural,10372,10283,10201,10116,10019,9936,9840,9752,9660,9569,0,0,0,0,0,2,2,4,4,3,3,5,4,2,3,2,2,3,2,2,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 San Augustine ,PHR 4/5N,Non-Border,Rural,8631,8584,8543,8498,8445,8405,8365,8314,8281,8225,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 San Jacinto ,PHR 4/5N,Non-Border,Suburban,27583,27842,28106,28348,28602,28844,29085,29330,29559,29781,0,0,2,2,1,4,4,4,4,4,5,8,5,5,5,4,5,5,5,3,2,5,4,4,3,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,3,3,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 San Patricio ,PHR 11,Non-Border,Urban,67868,68542,69197,69908,70615,71325,72040,72760,73464,74186,0,0,0,1,2,23,23,21,18,19,21,19,20,20,18,22,25,26,25,27,24,18,15,20,25,6,5,4,4,4,4,3,3,4,3,7,6,5,4,4,5,5,4,5,7,0,0,0,0,0,0,1,1,1,1,2,1,1,0,0,0,2,2,2,2
 San Saba ,PHR 7,Non-Border,Rural,5945,5925,5910,5901,5890,5873,5856,5845,5830,5810,0,0,0,0,0,4,4,4,2,2,2,3,3,3,3,2,2,2,3,3,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Schleicher ,PHR 9/10,Non-Border,Rural,3296,3292,3292,3292,3300,3312,3325,3336,3346,3359,0,0,1,1,1,0,0,0,0,0,0,3,3,1,3,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
 Scurry ,PHR 2/3,Non-Border,Rural,17598,17743,17902,18045,18208,18368,18541,18701,18877,19038,1,1,1,1,1,5,4,4,3,3,3,3,5,4,3,1,1,1,2,2,3,1,4,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0
 Shackelford ,PHR 2/3,Non-Border,Rural,3370,3375,3382,3387,3394,3405,3414,3423,3429,3437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
 Shelby ,PHR 4/5N,Non-Border,Rural,25552,25582,25574,25580,25565,25545,25537,25493,25449,25389,1,2,2,0,0,16,16,17,17,17,16,15,13,13,11,12,13,14,16,17,18,16,15,16,17,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
 Sherman ,PHR 1,Non-Border,Rural,3120,3143,3177,3211,3239,3276,3299,3326,3350,3372,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Smith ,PHR 4/5N,Non-Border,Urban,222690,225242,227753,230250,232715,235143,237577,239994,242371,244705,16,21,22,23,27,203,204,208,200,203,204,194,211,226,233,178,185,187,203,206,225,232,238,257,274,50,48,45,50,57,57,54,50,56,55,38,36,41,42,42,39,37,36,38,38,23,22,20,21,19,17,21,24,27,30,22,23,22,18,16,21,20,19,27,30
 Somervell ,PHR 2/3,Non-Border,Rural,8832,8917,9002,9101,9194,9294,9388,9482,9591,9695,0,0,0,1,1,8,8,8,9,9,7,4,4,5,5,5,5,5,5,5,5,2,1,2,1,0,0,0,0,1,1,2,2,1,1,0,0,0,0,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Starr ,PHR 11,Border,Rural,63044,63426,63778,64118,64444,64731,65010,65276,65498,65708,0,1,2,1,1,15,15,15,15,18,18,11,12,14,15,14,13,13,15,16,19,16,15,18,19,0,0,0,0,1,0,0,0,1,1,3,3,3,3,7,6,7,8,7,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
 Stephens ,PHR 2/3,Non-Border,Rural,9589,9582,9567,9567,9573,9570,9570,9568,9557,9560,0,0,0,0,0,3,2,2,2,2,2,3,4,3,3,4,3,3,4,5,5,2,5,6,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Sterling ,PHR 9/10,Non-Border,Rural,1199,1209,1218,1227,1238,1252,1257,1269,1275,1282,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Stonewall ,PHR 2/3,Non-Border,Rural,1498,1506,1511,1513,1519,1523,1524,1525,1530,1530,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Sutton ,PHR 9/10,Border,Rural,4221,4255,4295,4325,4350,4381,4406,4431,4449,4466,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Swisher ,PHR 1,Non-Border,Rural,7576,7541,7515,7486,7444,7414,7365,7328,7295,7257,1,1,0,0,0,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
